Wild birds 1,Captive-bred birds 1,BO MO 2,B1 MO 2,B0 M1 2,B1 M1 2,Jan Rain (cm) 3,Feb Rain (cm) 3,Sept Temp (°C) 4,Oct Temp (°C) 4,Breeding Period (Standardised) 5
0.54,0.04,0.54,0.73,0.56,0.73,2.3,2.3,15.05,18,-0.52
0.55,0.02,0.53,0.64,0.54,0.68,2.4,2.1,16.1,17.55,0.13
0.58,0.04,0.61,0.71,0.61,0.72,1.9,1.1,17.4,17.5,0.39
0.5,0.02,0.49,0.64,0.51,0.71,2.2,3.5,16.55,18.35,-0.02
0.49,0.02,0.45,0.52,0.48,0.6,2.2,1.9,13.05,17.5,-0.17
0.41,0.06,0.32,0.34,0.33,0.38,1.5,1.4,13.1,14.85,-1.72
0.32,0.03,0.45,0.46,0.48,0.63,1.1,1.7,14.65,17.4,-0.37
0.33,0.5,0.44,0.52,0.51,0.57,1.1,0.8,16.85,18.05,0.08
0.54,0.33,0.54,0.62,0.57,0.63,1.5,0.8,16.45,17,0.29
0.35,0.62,0.36,0.46,0.4,0.52,1.1,2.5,15.65,18.15,0.42
0.26,0.1,0.29,0.35,0.33,0.42,0.6,0.4,14.45,18.1,-1.57
0.38,0.01,0.35,0.38,0.45,0.46,0.9,0.7,14.6,17.95,-0.02
0.22,0.02,0.41,0.5,0.47,0.6,0.2,4.2,16.75,17.1,-0.77
0.46,0.08,0.31,0.58,0.34,0.6,1.8,1.8,16.65,16.3,0.34
0.43,0.13,0.43,0.56,0.46,0.63,0.5,2,14.65,17.9,-0.97
0.57,0.81,0.41,0.52,0.42,0.68,2.1,1.1,14.9,18.45,0.03
0.4,0.06,0.5,0.64,0.52,0.62,1.5,1,18,17.45,-0.12
0.53,0.09,0.51,0.6,0.59,0.8,0.8,1.6,16.1,18.35,-1.17
0.36,0.09,0.36,0.37,0.58,0.46,1.1,0.3,16.4,17.1,-1.72
0.38,0.03,0.35,0.48,0.42,0.46,0.5,1.4,14.5,17.35,-1.67
0.45,0.16,0.59,0.55,0.59,0.67,1.3,1.6,14.6,18.65,0.49
0.51,0.01,0.54,0.68,0.59,0.71,2.1,2.8,15,16.2,0.89
0.65,0.05,0.45,0.77,0.41,0.67,2.3,3.5,13.5,20.3,0.54
0.63,0.03,0.55,0.84,0.58,0.97,2.7,1.6,16,18.2,1.44
0.58,0.01,0.59,0.57,0.71,0.77,1.2,1.2,17.8,16.4,1.74
0.52,0.02,0.56,0.61,0.53,0.57,0.7,0.9,18.45,18.3,1.79
0.44,0.02,0.45,0.51,0.56,0.56,0.9,1,17.95,17.85,1.04
0.53,0.05,0.55,0.66,0.63,0.79,1.6,1.8,17.4,18.7,0.69
0.69,0.07,0.5,0.82,0.51,0.77,2.7,1.8,16.6,19.9,1.34
